"component","beta","lambda","omega_i","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_38","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_50","convergence_i","n_iterations_i","pen_loglik_i","loglik_i","df_i","aic_i","bic_i","penalty","HLag_structure","MAD_i_insample","count_non_zero_coef_i","Model_id"
1,10.7013581098628,1.7750606229,-0.000786458372836439,0.0726104186285817,0.000239739034263784,0.00776886094929554,-0.00859219959254063,-0.00780210749122437,0.000160803760825152,-0.00387766472782875,0.00194142607383533,0.000534854819712906,-0.00263110616715905,0.000668509429677551,0.000890751570415351,0.000121715470190971,-0.000194206764789523,0.00124639431153803,-0.000151925289890076,-0.000206664290103692,0.000262978803676159,0.000384996572496265,0.00014820916252722,-0.000318899606817838,-0.000105669059755063,-9.12853072685657e-05,-1.99646196268226e-05,0.000102197535375405,9.08929310573564e-05,-1.92843774983881e-05,-0.000158954861395639,-0.000188006713378976,-6.00176948394519e-06,-9.16682842076029e-05,1.17195328154377e-05,9.57489780211832e-05,2.11374788027784e-05,3.37449404019313e-05,0.000176050970185649,8.31492632428423e-06,-1.22786188159161e-05,1.90748517927683e-05,-7.22026425048001e-05,-8.41797349507079e-05,9.59502933849922e-05,-4.51860155279081e-05,-1.62260992717074e-05,4.16657756229065e-05,-3.24765683780356e-05,-1.12659253923523e-05,-1.40229586005706e-05,7.11965871667726e-05,6.35940316334152e-06,1,766,-0.572350751098082,-568.773208433355,6,1149.54641686671,1181.42573918925,"group-mcp","own-other",0.284458624104757,6,"Model1"
2,10.7013581098628,1.7750606229,-0.0226810659031647,0.00629047120923453,0.0527280810500721,-0.00891845225774125,0.00258838905781318,-0.020594791303835,0.00145026266549196,-0.00304396918588024,0.000933175351357579,0.00143341043180112,0.00122959968163136,-0.000293994833007854,0.000402715674821817,-0.000928283984746172,-0.00011716510040008,0.000607750500759404,4.02005276800199e-05,-0.00032372442558671,3.49461587090391e-06,1.61410987743265e-05,0.000214001092868749,-0.000110766215138777,0.00029261096076235,7.63881171034345e-05,-0.000242582110583673,0.000213548057800342,-0.000287587270667208,0.000232058502693178,-1.17622638082171e-05,4.19258420245232e-05,-0.000123726995011312,-0.000169079330038237,-0.000145145862718922,-3.59026035588633e-05,-6.33520991401534e-05,4.91191630717858e-05,-9.88022854347286e-06,6.07556453257636e-05,9.51522334526503e-05,0.000146246384434242,2.29392154404528e-05,1.03593920955159e-05,-7.09402900603782e-05,7.75954540397695e-06,8.69939253787615e-07,7.02748515852192e-05,2.30557026533493e-05,2.75579533288342e-05,1.49770021049715e-05,0.000175983153162399,-1.27622769294166e-05,1,697,-0.572678369177039,-599.942795035207,6,1211.88559007041,1243.76491239296,"group-mcp","own-other",0.286950328895404,6,"Model1"
3,10.7013581098628,1.7750606229,-0.0951124471876831,-0.0140278159842502,-0.0184816078386843,0.179705713150593,-0.0301648311722292,-0.0635834104364187,-0.0142418705967259,-0.0172252708472473,0.197363622499098,-0.0301001727737123,-0.0605393243159176,-0.0167570389408836,-0.0180821830034479,0.217612359604326,-0.0261810704227244,-0.053517822324497,-0.0189602453471058,-0.0205818463496056,-0.0632563841496935,-0.0273496771960528,-0.0502505294628565,-0.017875689360262,-0.0180186137147515,0.106682140334165,-0.0243209449147774,-0.0444183621598395,-0.0154030737246339,-0.0163146683074113,0.0932749498607057,-0.0214102616591221,-0.0370951460078524,-0.0136615869074933,-0.0139851134022869,0.0772318795606816,-0.0177645052116486,-0.030429931028194,-0.0124361407209942,-0.0118843671913906,0.0492947074257477,-0.0147900621717953,-0.0250092460391401,-0.0103168354603036,-0.0101440078118988,0.0397742728519862,-0.0124978817964036,-0.0215814618185906,-0.00948738121837632,-0.00875045424923043,0.022484628385279,-0.0114226802818294,-0.0201062630812137,4,113,-7.29736573588317,-1432.52284174398,50,2965.04568348797,3230.70670284248,"group-mcp","own-other",0.37105580924642,50,"Model1"
4,10.7013581098628,1.7750606229,-0.0269626142933001,0.000417403945491896,0.0298316894483643,0.0146034045455442,0.0450563875351282,0.0210040269061507,0.0115770491897615,-0.00762291773243692,0.0130383717204707,0.0235972943531794,0.00594333580443892,-0.00179091595664678,-0.00169606981053096,-2.69803039824037e-05,0.00310984380646558,0.000687394275394485,0.000121644482628337,0.00113722796373666,-0.000148940347774189,0.000624475103033588,0.00112096568880755,-0.000452592415796889,0.000374518322616929,-0.000208271223993584,-0.000463156656726308,0.00144748135485258,0.000337120456363445,-2.07208765908842e-05,0.000234639911642119,0.00051894135429183,0.000160659975486216,-4.16873006696029e-05,-2.71365289536035e-05,-0.000171689192611102,0.000290634182740437,4.45697231968896e-05,-2.03679145041294e-06,-0.0001541366574338,-6.18086921576501e-05,-2.94762182587441e-05,2.38897034867747e-05,1.88438461638847e-06,5.59814978564598e-05,5.78956203361261e-05,-8.57968774550416e-06,-3.31903225044309e-05,8.30393448493106e-05,-0.000162022631203663,-5.21196438869308e-05,2.48099917746048e-05,-9.68461231838962e-05,5,1500,-0.81879754738838,-724.844137979178,10,1469.68827595836,1522.82047982926,"group-mcp","own-other",0.302807590734338,10,"Model1"
5,10.7013581098628,1.7750606229,-0.0908515189222122,0.0455924939303799,0.0138979523695152,0.0533091055051892,-0.0386935017191031,0.259401168801066,0.016141760832147,0.00630198704854892,0.0218732932677308,0.0214115085396138,0.0879017189632542,0.00294400614438179,0.00367728301026705,0.00569571782011226,0.00651477764488832,0.0175970722930264,0.000626477956215673,0.00161835996023034,0.0015562596069516,0.00265848659024725,0.010739241061307,0.000396237181098149,0.000271603461578192,0.000539161880485208,0.000262640488089124,0.00189629180310577,-0.000111534260733221,-0.000200919693461062,0.000224393197800889,4.62482986786171e-05,0.000225763632243738,5.99880664588799e-05,6.85644568069161e-05,6.9898152532083e-05,5.3617883957299e-05,5.92353840428968e-05,2.05776856255771e-05,-9.81490669274842e-05,2.31408596843787e-05,1.67845566738657e-05,-1.6026843214488e-05,2.51112246262972e-05,1.93343159263119e-05,3.53341575081701e-05,3.35698313317203e-05,5.41612073127636e-05,3.60542820523047e-05,3.33787889988855e-05,-3.68013279264093e-05,3.93866852128064e-05,6.12836140964599e-05,1,1318,-1.84416361279708,-1157.97375996377,17,2349.94751992754,2440.27226650807,"group-mcp","own-other",0.385160041945093,17,"Model1"
1,10.7013581098628,1.3743649749,0.00236954638521725,0.0711142612270832,-0.00356787309822166,-0.00297113868271982,-2.22116880692379e-05,-0.00266554271098425,0.00741140632893787,0.0036241585005066,-0.000922202532846491,-0.00177261936128033,0.00700069163659421,-0.0022131637880061,0.00114186989143815,8.24836682687188e-05,0.000596094789405392,-3.63310105167495e-05,0.000669096123028659,-0.00024753492061816,0.000512126723481351,-0.000106195336871529,0.000136817470091616,-8.4292917123442e-05,-2.88820656981731e-05,5.5463987946916e-06,-9.72081014733377e-05,5.6704387449238e-05,-0.00011408847723629,6.19751678463818e-05,5.80090512951014e-07,-6.16869647671632e-05,9.65294604390471e-05,0.000102832776160928,-6.07110484829241e-05,6.09798367265638e-05,2.47087404736046e-05,-6.19427366000716e-05,7.70827794237606e-05,-8.65751406937044e-05,4.49314800020475e-05,-1.83888122171391e-05,-1.43806133048702e-05,3.65325763956952e-05,1.76175758342829e-05,-6.41312962499768e-05,-5.92615825725449e-05,-2.68562233924875e-05,2.08227827538403e-05,-2.50852829251577e-05,-2.75644047008454e-05,-4.12163628886702e-05,1.10002704327667e-05,1,967,-0.522476036323175,-549.264063501914,8,1114.52812700383,1157.03389010055,"group-mcp","own-other",0.282077234235244,8,"Model2"
2,10.7013581098628,1.3743649749,-0.0150446411394895,0.0035928032573401,0.0602616139709298,0.00607832229536014,0.00282013483185134,-0.00537019678468953,-0.000776452600459641,0.000464985523630044,-0.000352832833371969,-0.0025676503358065,0.00658456297307662,-0.000338168112232651,0.00224757789975524,0.00143505600819545,-0.000446712819414279,0.00489475247425013,9.08378641875273e-05,0.000542675918136445,0.000794365117547465,0.000543071157615573,-0.000127246787699537,-8.25995756378592e-05,0.000291970835622767,-6.97316560994149e-05,-8.05444850138352e-05,-0.000203311303771035,7.04748832616011e-05,-4.83798540562829e-06,0.000143786499145622,4.43023132927214e-05,8.84725892546058e-05,1.87211509081041e-05,0.000168028839773894,7.83567305838086e-05,-0.000239502530921891,9.67536872439358e-06,6.49034388653003e-05,0.000108340633294208,3.95857385618926e-05,-3.15452735008315e-05,-0.000192801136547289,-2.42902386519462e-06,4.82932190753809e-05,6.0331466270094e-05,-3.29660140788739e-05,3.99835365206092e-05,-9.0911118886248e-06,-2.62482137394841e-05,4.54826055635151e-05,-4.53946147452308e-05,-6.28989441846175e-06,1,655,-0.515704206853045,-547.387691487109,9,1112.77538297422,1160.59436645803,"group-mcp","own-other",0.280062244780469,9,"Model2"
3,10.7013581098628,1.3743649749,0.00588712560289438,0.0126517446746085,0.00800161404361961,0.173421449645773,0.0205342021484425,0.104236438122087,0.00165337265235938,0.00319535436522321,0.00812374601779723,-0.00104553584471547,0.00193073101033854,-0.00248175135203087,-0.00237344400185384,-0.00403940830442891,0.00635945477563021,-0.000131597712771185,0.000236944318829862,0.000336373400874613,0.00121561432244904,-0.000131588351027084,-6.71144021802982e-05,0.000371620209906674,0.000398248484922319,0.00102413072299861,-0.000530727559768773,0.0004395501317224,-0.00018018513670732,-4.90320055232301e-05,0.000394912123962035,0.000115520952479181,-4.77886747747638e-05,0.000156226962971785,1.81896820589279e-05,-2.16548110785787e-05,-5.86123526142848e-05,7.07804567663396e-05,0.000122072511694135,2.03997025176271e-05,-0.000126557197005953,1.09455003916999e-06,-0.000139433408655281,0.000101347700720283,9.45204936748657e-05,4.35869583915087e-05,-0.00012234112319047,0.000110951277549492,7.02185938574146e-06,3.54669598968571e-05,-0.000132397350966962,5.73211544669765e-06,7.44947844613045e-06,5,1500,-0.777888498235359,-439.363798602239,11,900.727597204477,959.173021462471,"group-mcp","own-other",0.266688544825056,11,"Model2"
4,10.7013581098628,1.3743649749,-0.0303817263184293,0.00334958517489716,0.00904880828117338,-0.00309161039380426,0.109255433328782,-0.0101162596923086,0.0058098567390102,0.012245547233873,0.0055801975572236,0.0194688233065002,0.00951765044594829,0.00100752528650327,0.00219576537416346,-0.000234798830636385,0.000192782285319871,0.00156808578869528,0.000536675919718847,-0.000419273524769131,0.00116248526694892,0.0010764100248533,0.000376253123068289,-0.000136461872820956,0.000189705887288855,9.65585578085035e-05,-1.99193658240186e-05,0.000129749565486743,8.42575333650515e-05,1.97111235200887e-05,0.000133435384080443,0.000146940370171214,0.000245769827597515,7.80581464101145e-05,1.319508707254e-05,1.88904176999775e-05,-2.76740012925171e-05,3.98933833729866e-05,3.34366795947929e-05,-2.39556497436653e-05,8.5019732963432e-05,5.61085358155491e-05,5.46910665124633e-05,0.000118588937627678,6.04285516783876e-05,-3.88013901182864e-05,2.15171649038811e-05,1.73478032451836e-05,-5.01379754876074e-05,2.23334266586746e-05,6.42069004773787e-05,-3.7835437890121e-05,-2.39529528264571e-05,1,1175,-0.76666276230902,-739.746840149264,11,1501.49368029853,1559.93910455652,"group-mcp","own-other",0.304889466747726,11,"Model2"
5,10.7013581098628,1.3743649749,-0.0542220120312721,1.20210741298201e-05,0.0214799625631814,0.0951435849293558,0.0719476221726963,0.347019289797968,0.0167738423278012,0.0253032856118741,0.0315642984705327,0.0214798640217466,0.0839496369447098,0.00456985848778197,0.00177689863738094,0.0169600220500036,0.0037802367113345,0.0315022513866791,0.000799348810186497,0.00198106709624864,-0.000990527801951312,0.00161890382853905,0.00406055976299393,-6.83663696468729e-05,0.000227363455499463,0.000922358880665039,0.000202133405734206,0.00151577229142687,0.000252797273042228,0.000372737829570005,-8.58498064424709e-06,6.72302080724159e-05,0.000411801348548841,2.46330082388465e-06,-5.92872768713211e-05,0.000180940073227439,2.56908275006512e-05,8.59176891298759e-05,3.33492464096559e-05,-2.84714570764502e-05,-8.9162217126348e-05,4.49393244631047e-05,0.000102150009063841,2.24443854494561e-05,3.88716565514346e-05,0.000111236373565109,7.35966299955764e-05,2.02453301849208e-05,-1.22400135565309e-05,1.05677249938558e-05,4.49893730533328e-05,2.38620200425732e-05,3.27127295027409e-05,5,1500,-1.53031390416158,-740.939536904969,14,1509.87907380994,1584.2641592292,"group-mcp","own-other",0.343133076613774,14,"Model2"
1,10.7013581098628,1.0641208868,0.00463445453362227,0.0792348097337179,0.0052620912455846,-0.00601400121428673,0.00346971797173106,-0.00187261283069265,0.0149738368737754,0.00647081674742231,0.000305687608391748,0.00285602072681887,0.00306122180934557,0.0010325887025268,0.00347005573329663,-8.98446792184105e-05,0.0013919251661614,0.000518532008339466,0.000907350556782566,0.000639884016448905,0.000198953937696264,0.000324040238547493,0.000845095374401207,0.000198182885357249,0.00025720805235173,5.9855590822951e-05,0.000413021764688712,-0.000198630995912528,0.000291868020195314,0.000164047145396092,6.8884854067603e-06,0.000103002909305978,-5.88999026100306e-05,8.95516074322949e-05,0.000139271762826934,-3.12221334952195e-05,-8.20254974235777e-06,0.00016099892066427,-2.71780324803763e-05,3.45796094240369e-05,-4.00345704063263e-05,0.000105588641082509,7.73071426478072e-05,-4.33552489959165e-05,-9.85610604862602e-05,-2.44531840233484e-05,-2.36308955154034e-05,-0.000141588215362546,-1.5676309667872e-05,7.14629044300771e-06,-7.55430375325228e-05,-2.09986067125366e-05,-3.73382430442779e-05,1,715,-0.501727392161309,-523.611669371518,9,1065.22333874304,1113.04232222685,"group-mcp","own-other",0.278676682582463,9,"Model3"
2,10.7013581098628,1.0641208868,-0.0120739502596461,-0.0146324033131123,0.0579750606955321,0.0147634484369861,-0.00432325956336011,0.0116974805089679,0.00618973503602638,0.0057009564382193,0.00102003501666282,-0.00655728324605903,0.00823451820450762,0.00302424486537797,0.000309667327499477,0.000915095074454484,0.000221877963786471,0.000311954079904774,0.000210765054527616,0.000647395181818533,0.000406309534883366,0.000329425669154594,0.00023333396331049,-6.5871611298029e-05,-0.000437109826893798,0.000192838579779214,-3.27227540290679e-05,-0.000112546372743187,0.000153659053593105,-0.000172944546382914,0.000234378023072237,5.27452716949518e-05,9.19700447255884e-05,-4.24859452432223e-05,9.05959150682289e-05,3.92037720703966e-05,-9.72165057393767e-05,1.1892507996588e-05,4.24658923616807e-05,-1.58464953948501e-05,-7.19565838426839e-05,9.6167341652255e-05,-5.40398378546724e-05,5.90581507842684e-05,-5.76330327622794e-05,2.84147288753735e-06,-7.97596459658015e-05,-6.83322769889214e-05,-6.4482562124595e-06,-1.08157302568166e-05,5.49126129913468e-05,-7.90606428376389e-05,-1.93823020580726e-06,1,664,-0.493434796906633,-531.805292554354,10,1083.61058510871,1136.74278897961,"group-mcp","own-other",0.278056652075204,10,"Model3"
3,10.7013581098628,1.0641208868,5.5189523215024e-05,0.0193648403362677,-0.0105625551752358,0.154472161425754,0.015202399821938,0.037635308302141,-0.00916896834799397,0.0279413392431491,0.123649872440861,0.0149124551262804,-0.0111900232610861,0.00103777795434061,0.00215114597119407,0.0015065747094545,0.00267114691131081,0.0087561606889368,0.0023015184510013,0.0028941846069608,0.00304959103462443,0.00181430621025892,0.000595292365985547,-0.000285895282797581,0.00150937457013411,0.0010820138215656,0.000963383063527016,0.000401154593204074,-0.000186968653417815,-4.54076110594922e-05,0.000882277972512867,9.60041672683373e-05,0.000284774654242642,0.000225337325291877,0.000637439464793541,0.000202961497417196,-0.00016404504610492,3.5559153633913e-05,-0.000356714755078395,0.000600487225607028,9.48581868474166e-05,1.97353062309877e-05,-0.000750058825507662,0.000421415912412715,-0.000194618067608485,-0.000196657915235994,6.7912968080401e-05,0.000163372485188323,0.00029886877916837,9.28437513500004e-05,0.000153269279395709,5.10880671914978e-05,-5.00158648025783e-05,4,996,-0.862398565814028,-424.018820959309,16,880.037641918618,965.049168112063,"group-mcp","own-other",0.264498588924495,16,"Model3"
4,10.7013581098628,1.0641208868,0.00219386584153089,-0.0281343614409634,-0.0346791055976288,0.0152056386530226,0.0520716756528125,0.136179960240877,0.0244217402253905,0.0285289934350639,-0.0116758474570344,0.0236569012988235,0.0280023733720523,0.00311597245933835,0.00439893295826308,-0.00251322610472401,0.00290140041467657,0.00245639762181592,0.000526344492779355,0.000172406113546322,-0.000206642396258585,0.000536949731535628,0.000904905462678294,0.000480272529107475,7.4046348379969e-05,-0.000412984980260052,0.000421009884683037,-0.000446654525947215,-0.000267464786822895,0.000205836523269115,-0.000130128487729771,8.78059952573726e-05,-0.000147448333601403,-1.47363323427469e-05,-4.96054006006482e-05,-0.000153244895144107,-1.79086794276963e-06,0.000107316533751603,1.81349602358327e-05,-0.000196026820248941,-3.0563668713613e-05,-3.2308286730509e-05,0.000123397034034333,4.46924975903753e-05,6.64721344239018e-05,2.85778725135084e-05,7.08053567215203e-05,-4.84740110655203e-06,-8.49652805522956e-05,-0.000113941061480757,2.89098485571889e-06,-5.05563502261347e-06,1.9497777309072e-05,1,821,-0.816730218169649,-534.260711824294,15,1098.52142364859,1178.21972945494,"group-mcp","own-other",0.280167847864182,15,"Model3"
5,10.7013581098628,1.0641208868,-0.0676547348138978,0.068934621780655,0.00638467213772713,0.0820701691493383,0.0486633264171717,0.237352349387137,0.0199486632047599,0.0208616145313103,0.0252567055515213,0.0284799478726673,0.108054337133133,0.00399838613136496,0.0076205097775304,0.00599762898496304,0.00691686545391817,0.0560220401050998,0.00118417793907531,0.000767849398535895,0.00184485193997962,0.00197139949025024,0.0114715452389922,0.000434024291855077,0.000724843446284473,0.00101495965875041,0.000639977840476647,0.00243141194005223,-6.70851001000576e-05,-3.01067134920243e-05,0.000128005863374208,5.51934424877624e-05,0.00102034944184443,5.73382872537099e-05,0.000159830225606569,5.79180837295277e-05,5.6376758710512e-05,0.000292495556597586,8.22701094774993e-05,0.000117908107232878,8.42812682637925e-05,-1.29370291387264e-05,-8.23500746514922e-05,3.57363603315688e-06,6.16449036266039e-05,7.6119930603778e-05,2.69780634248175e-05,0.000119522861243756,-1.38101833173128e-05,5.97147034862938e-05,3.68888438077021e-05,5.19442850828845e-05,6.27071203204245e-05,1,1381,-1.35666472397485,-823.022791293646,17,1680.04558258729,1770.37032916783,"group-mcp","own-other",0.353243095564211,17,"Model3"
1,10.7013581098628,0.8239101566,0.0176093600456887,0.201457984866701,-0.0033960198809027,0.00297042193961212,0.00831348206952564,0.0173172545409539,0.0157223516443759,-0.0128401971518724,0.00165872345450472,0.00355141501181934,0.0151808584151281,0.00773147077647256,0.00130822756642573,0.000272620485950725,5.09960767882561e-05,0.000378438840945955,0.000921693667847155,0.000394751338221104,-0.000219242715385147,-4.7802550579392e-06,0.000321007009148517,0.00030360044596761,-5.11735455184497e-05,0.000117993388508711,0.000468463639201576,-1.96717776964798e-05,0.000126517828316876,-3.08664614840506e-05,-1.19479278753116e-05,7.85915025761535e-05,1.97042599725469e-05,-6.16467514213935e-05,6.82539873416662e-05,1.36210275706712e-05,-4.08772104549819e-05,-3.53811562462147e-05,-8.95692623594877e-05,7.18439058760323e-05,-5.72476336960505e-05,-3.19052460349118e-05,2.30838960722006e-05,2.3605641101164e-05,2.47698563801613e-05,1.95491989617212e-05,-5.72181778578731e-05,5.43620103471866e-05,-1.67178455890089e-05,1.11536541564173e-05,-3.01426547036594e-05,-8.72021636557081e-05,1.31415100894421e-05,1,773,-0.535077862603806,-438.827230099296,10,897.654460198592,950.786664069495,"group-mcp","own-other",0.268094686596098,10,"Model4"
